Ocupação;Quantitativo;Porcentagem;Ano
Detetive Particular;8;0,0004;2006
Digitador;8;0,0004;2006
Diplomata;3;0,0002;2006
Diretor de Empresas;51;0,0026;2006
Diretor de Estabelecimento de Ensino;17;0,0009;2006
Dona de Casa;72;0,0037;2006
Economista;153;0,0079;2006
Economista Doméstico;2;0,0001;2006
Eletricista e Assemelhados;38;0,002;2006
Empregado Doméstico;7;0,0004;2006
Empresário;1375;0,0714;2006
Encanador, Soldador, Chapeador e Caldeireiro;10;0,0005;2006
Enfermeiro;46;0,0024;2006
Engenheiro;353;0,0183;2006
Engraxate;1;0,0001;2006
Escritor e Crítico;20;0,001;2006
Escultor e Pintor;11;0,0006;2006
Estatístico;2;0,0001;2006
Esteticista;3;0,0002;2006
Estivador, Carregador e Assemelhados;1;0,0001;2006
Estofador;1;0,0001;2006
Estudante, Bolsista, Estagiário e Assemelhados;320;0,0166;2006
Farmacêutico;33;0,0017;2006
Faxineiro;3;0,0002;2006
Feirante, Ambulante e Mascate;21;0,0011;2006
Ferroviário;9;0,0005;2006
Fiandeiro, Tecelão, Tingidor e Assemelhados;2;0,0001;2006
Fiscal;22;0,0011;2006
Fiscal de Transporte Coletivo;5;0,0003;2006
Fisioterapeuta e Terapeuta Ocupacional;17;0,0009;2006
Fonoaudiólogo;2;0,0001;2006
Fotógrafo e Assemelhados;16;0,0008;2006
Frentista;7;0,0004;2006
Funileiro;3;0,0002;2006
Físico;2;0,0001;2006
Gari ou Lixeiro;4;0,0002;2006
Garimpeiro;2;0,0001;2006
Garçom;15;0,0008;2006
Gerente;71;0,0037;2006
Geógrafo;6;0,0003;2006
Geólogo;13;0,0007;2006
Governador;16;0,0008;2006
Guardador de Veículos;2;0,0001;2006
Guia de Turismo;4;0,0002;2006
Historiador;6;0,0003;2006
Industrial;48;0,0025;2006
Jardineiro;2;0,0001;2006
Joalheiro e Ourives;2;0,0001;2006
Jornaleiro;3;0,0002;2006
Jornalista e Redator;195;0,0101;2006
Lanterneiro e Pintor de Veículos;6;0,0003;2006
Lavandeiro, Tintureiro e Assemelhados;1;0,0001;2006
Leiloeiro, Avaliador e Assemelhados;3;0,0002;2006
Leiturista;1;0,0001;2006
Locutor e Comentarista de Rádio e Televisão e Radialista;202;0,0105;2006
Magistrado;3;0,0002;2006
Manicure e Maquilador;3;0,0002;2006
Maquinista e Foguista de Embarcações e Assemelhados;1;0,0001;2006
Marinheiro Civil, Canoeiro, Embarcado e Assemelhados;4;0,0002;2006
Massagista;1;0,0001;2006
Matemático e Atuário;3;0,0002;2006
Mecânico de Manutenção;42;0,0022;2006
Membro das Forças Armadas;48;0,0025;2006
Mestre e Contramestre de Embarcação;1;0,0001;2006
Militar Reformado;124;0,0064;2006
Ministro de Estado;1;0,0001;2006
Modelo;1;0,0001;2006
Montador de Máquinas;1;0,0001;2006
Motoboy;5;0,0003;2006
Motorista Particular;76;0,0039;2006
Motorista de Veículos de Transporte Coletivo de Passageiros;74;0,0038;2006
Motorista de Veículos de Transporte de Carga;35;0,0018;2006
Médico;780;0,0405;2006
Músico;40;0,0021;2006
Nutricionista e Assemelhados;8;0,0004;2006
Ocupante de Cargo em Comissão;29;0,0015;2006
Odontólogo;104;0,0054;2006
Office-Boy e Contínuo;2;0,0001;2006
Operador de Aparelhos de Produção Industrial;11;0,0006;2006
Operador de Computador;2;0,0001;2006
Operador de Equipamento Médico e Odontológico;1;0,0001;2006
Operador de Equipamento de Rádio, Televisão, Som e Cinema;8;0,0004;2006
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;2;0,0001;2006
Operador de Instalação de Produção de Energia Elétrica e Nuclear;1;0,0001;2006
Padeiro, Confeiteiro e Assemelhados;9;0,0005;2006
Pecuarista;75;0,0039;2006
Pedagogo;60;0,0031;2006
Pescador;15;0,0008;2006
Petroleiro;11;0,0006;2006
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;10;0,0005;2006
Policial Civil;99;0,0051;2006
Policial Militar;590;0,0306;2006
Porteiro de Edifício, Ascensorista, Garagista e Zelador;16;0,0008;2006
Presidente da República;1;0,0001;2006
Produtor Agropecuário;90;0,0047;2006
Produtor de Espetáculos Públicos;26;0,0013;2006
Professor de Ensino Fundamental;213;0,0111;2006
Professor de Ensino Médio;571;0,0296;2006
Professor de Ensino Superior;344;0,0179;2006
Professor e Instrutor de Formação Profissional;65;0,0034;2006
Programador de Computador;6;0,0003;2006
Protético;14;0,0007;2006
Psicólogo;40;0,0021;2006
Publicitário;81;0,0042;2006
Químico;6;0,0003;2006
Recepcionista;6;0,0003;2006
Relações-Públicas;4;0,0002;2006
Relojoeiro e Montador de Instrumento de Precisão;1;0,0001;2006
Representante Comercial;130;0,0067;2006
Sacerdote ou Membro de Ordem ou Seita Religiosa;106;0,0055;2006
Secretário e Datilógrafo;22;0,0011;2006
Securitário;3;0,0002;2006
Senador;33;0,0017;2006
Serralheiro;8;0,0004;2006
Serventuário de Justiça;17;0,0009;2006
Servidor Público Civil Aposentado;197;0,0102;2006
Servidor Público Estadual;748;0,0388;2006
Servidor Público Federal;461;0,0239;2006
Servidor Público Municipal;312;0,0162;2006
Sociólogo;29;0,0015;2006
Supervisor, Inspetor e Agente de Compras e Vendas;17;0,0009;2006
Tabelião;10;0,0005;2006
Taquígrafo e Estenógrafo;1;0,0001;2006
Taxista;40;0,0021;2006
Telefonista;5;0,0003;2006
Terapeuta;7;0,0004;2006
Torneiro Mecânico;5;0,0003;2006
